Company Name,Category,Sub-Category,Hall,LinkedIn URL
TCG DIGITAL SOLUTIONS PVT LTD,Corporate,Domestic,15,https://www.linkedin.com/company/tcg-digital-solutions/
Thoughtworks,Corporate,Domestic,15,https://www.linkedin.com/company/thoughtworks/
Ministry of Ayush,Government,,15,https://www.linkedin.com/company/ministry-of-ayush/
Ministry of Earth Sciences,Government,,15,https://www.linkedin.com/company/ministry-of-earth-sciencesindian-instiutute-of-tropical-sciences/
Centre for Development of Telematics C-DOT,Government,,15,https://www.linkedin.com/company/centre-for-development-of-telematics-cdot/
Ministry of Rural Development,Government,,15,https://www.linkedin.com/company/ministry-of-rural-development/
Ministry of Heavy Industries,Government,,15,https://www.linkedin.com/company/ministry-of-heavy-industriesengineering-projects-india-ltd/
Ministry of Steel,Government,,15,https://www.linkedin.com/company/ministry-of-steel/
Ministry of Tribal Affairs,Government,,15,https://www.linkedin.com/company/ministry-of-tribal-affairs/
DRDO,Government,,15,https://www.linkedin.com/company/drdo/
Department of Technical education Govt of NCT of Delhi,Government,,15,https://www.linkedin.com/company/department-of-technical-education-govt-of-nct-of-delhi/
Government of Tripura Directorate of IT,Government,,15,https://www.linkedin.com/company/government-of-tripura-directorate-of-it/
Government of Assam Department of IT,Government,,15,https://www.linkedin.com/company/government-of-assam-department-of-it/
Government of Kerala State IT Mission,Government,,15,https://www.linkedin.com/company/government-of-kerala-state-it-mission/
National Payments Corporation of India NPCI,Public Sector Units,,15,https://www.linkedin.com/company/national-payments-corporation-of-india-npci/
Trestle Labs Private Limited,Corporate,Domestic,15,https://www.linkedin.com/company/trestle-labs/
BUSINESSNEXT,Corporate,Domestic,15,https://www.linkedin.com/company/businessnext/
Meesho,Corporate,Domestic,15,https://www.linkedin.com/company/meesho/
Kavion,Corporate,Domestic,15,https://www.linkedin.com/company/kavion/
AdaniConnex,Corporate,Domestic,15,https://www.linkedin.com/company/adaniconnex/
Josh Talks,Corporate,Domestic,15,https://www.linkedin.com/company/josh-talks/
